epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2818.68,1.4302,3.16499,1.75597,0.38279,0.39884,0.40095,0.25443,1.61845,3.16562,1.88032,0.00079705,0.00079705,0.00079705
43,2884.85,1.41769,3.12533,1.73306,0.44022,0.35992,0.38085,0.21451,1.70024,3.36854,1.91807,0.0007921,0.0007921,0.0007921
44,2950.67,1.39916,3.10921,1.70928,0.38423,0.44229,0.37892,0.23585,1.54839,3.27898,1.81117,0.00078715,0.00078715,0.00078715
45,3016.88,1.43456,3.17261,1.72536,0.3552,0.42774,0.383,0.23413,1.59949,3.37166,1.87591,0.0007822,0.0007822,0.0007822
46,3083,1.40789,3.08587,1.71358,0.33013,0.44363,0.39066,0.24776,1.5511,3.1194,1.8086,0.00077725,0.00077725,0.00077725
47,3148.5,1.42927,3.06772,1.72734,0.44324,0.37142,0.4066,0.24741,1.57452,3.26604,1.81789,0.0007723,0.0007723,0.0007723
48,3215.94,1.37973,3.0375,1.69289,0.37129,0.44797,0.38054,0.23338,1.61148,3.1123,1.87316,0.00076735,0.00076735,0.00076735
49,3281.11,1.39364,3.08236,1.71299,0.39649,0.38785,0.36865,0.23183,1.59925,3.2741,1.89343,0.0007624,0.0007624,0.0007624
50,3345.45,1.36834,2.94134,1.68125,0.40455,0.44155,0.42903,0.24535,1.71299,3.17175,1.94587,0.00075745,0.00075745,0.00075745
51,3409.31,1.39479,3.09092,1.71212,0.37454,0.4155,0.38717,0.23149,1.62466,3.19109,1.91724,0.0007525,0.0007525,0.0007525
52,3473.24,1.35173,2.97908,1.69341,0.41152,0.41409,0.39828,0.23115,1.65576,3.22208,1.95367,0.00074755,0.00074755,0.00074755
53,3537.55,1.39119,3.0328,1.72527,0.44967,0.41034,0.42017,0.25229,1.57482,3.11821,1.84186,0.0007426,0.0007426,0.0007426
54,3594.3,1.35403,2.96604,1.67654,0.33397,0.44948,0.39813,0.23334,1.63904,3.22464,1.93609,0.00073765,0.00073765,0.00073765
55,3637.35,1.39919,2.99121,1.72393,0.38546,0.44737,0.40012,0.25481,1.55921,3.18224,1.85048,0.0007327,0.0007327,0.0007327
56,3681.73,1.34727,2.8949,1.66209,0.45456,0.40069,0.39406,0.24728,1.61838,3.13284,1.88806,0.00072775,0.00072775,0.00072775
57,3726.89,1.35298,2.87806,1.65599,0.38876,0.39829,0.3781,0.22884,1.63169,3.30261,1.88379,0.0007228,0.0007228,0.0007228
58,3772.15,1.39621,2.91778,1.70145,0.4641,0.42285,0.42503,0.26172,1.55912,3.11572,1.85381,0.00071785,0.00071785,0.00071785
59,3816.4,1.35454,2.86894,1.65811,0.41227,0.48467,0.43115,0.26681,1.58845,3.11084,1.8614,0.0007129,0.0007129,0.0007129
60,3860.55,1.33325,2.79998,1.6534,0.4076,0.48299,0.43157,0.27922,1.65174,3.01991,1.89479,0.00070795,0.00070795,0.00070795
61,3904.62,1.34673,2.86616,1.67372,0.39432,0.44855,0.41945,0.27688,1.57701,2.98557,1.8616,0.000703,0.000703,0.000703
62,3947.76,1.31591,2.81976,1.64373,0.43406,0.42064,0.39291,0.25592,1.52995,2.93032,1.81912,0.00069805,0.00069805,0.00069805
63,3991.3,1.34284,2.79983,1.65039,0.42733,0.45663,0.39872,0.2473,1.65692,3.13756,1.93802,0.0006931,0.0006931,0.0006931
64,4034.26,1.2984,2.76537,1.62664,0.41325,0.43749,0.41367,0.25245,1.6802,3.22453,1.95979,0.00068815,0.00068815,0.00068815
65,4076.59,1.29261,2.67932,1.59312,0.37048,0.47129,0.39872,0.23274,1.56665,3.25572,1.82004,0.0006832,0.0006832,0.0006832
66,4119.15,1.30353,2.74788,1.63051,0.36537,0.40966,0.39517,0.24184,1.62117,3.09054,1.88377,0.00067825,0.00067825,0.00067825
67,4162.64,1.35363,2.80552,1.68769,0.42759,0.47845,0.44231,0.28441,1.56425,3.10265,1.87329,0.0006733,0.0006733,0.0006733
68,4206.33,1.31881,2.73377,1.64059,0.4189,0.48715,0.44248,0.27942,1.50521,3.17176,1.78651,0.00066835,0.00066835,0.00066835
69,4249.34,1.27516,2.66437,1.60534,0.39142,0.49355,0.42083,0.25867,1.64725,3.10097,1.91217,0.0006634,0.0006634,0.0006634
70,4292.32,1.28729,2.59716,1.60441,0.43397,0.48225,0.44946,0.29005,1.62873,3.05612,1.93523,0.00065845,0.00065845,0.00065845
71,4336.75,1.33704,2.74129,1.65644,0.45565,0.46186,0.45612,0.28511,1.55958,3.01935,1.83477,0.0006535,0.0006535,0.0006535
