epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1218.76,1.42667,1.98118,1.72328,0.36668,0.30647,0.24365,0.15474,1.68113,2.48505,2.00175,0.00079705,0.00079705,0.00079705
43,1247.76,1.37269,1.97714,1.69383,0.1959,0.29145,0.2298,0.15012,1.61477,2.35374,1.9813,0.0007921,0.0007921,0.0007921
44,1276.82,1.42602,2.01746,1.74216,0.54306,0.25892,0.26104,0.16455,1.61628,2.42336,1.92703,0.00078715,0.00078715,0.00078715
45,1304.85,1.37257,1.90056,1.6815,0.47701,0.26629,0.24513,0.15612,1.64504,2.44569,1.95719,0.0007822,0.0007822,0.0007822
46,1333.09,1.37725,1.87035,1.72042,0.53257,0.37792,0.29684,0.17996,1.64729,2.38486,1.94926,0.00077725,0.00077725,0.00077725
47,1361.54,1.38875,1.87454,1.68523,0.53227,0.33352,0.27407,0.15504,1.8631,2.58445,2.1537,0.0007723,0.0007723,0.0007723
48,1391.08,1.43067,1.8927,1.73932,0.43929,0.3481,0.26266,0.15784,1.89877,2.50444,2.21981,0.00076735,0.00076735,0.00076735
49,1419.23,1.35857,1.9126,1.68105,0.41194,0.28564,0.23208,0.13928,1.90557,2.54589,2.26067,0.0007624,0.0007624,0.0007624
50,1447.99,1.35353,1.85515,1.70149,0.34005,0.27183,0.21759,0.13522,1.84958,2.60526,2.23001,0.00075745,0.00075745,0.00075745
51,1476.14,1.3621,1.83302,1.67673,0.40338,0.24183,0.19485,0.11861,1.80246,2.76425,2.17287,0.0007525,0.0007525,0.0007525
52,1505.26,1.4002,1.93612,1.70837,0.40037,0.27255,0.23168,0.1478,1.73615,2.64285,2.09788,0.00074755,0.00074755,0.00074755
53,1534.03,1.35556,1.84782,1.68624,0.39607,0.31206,0.25913,0.16438,1.73479,2.56422,2.05874,0.0007426,0.0007426,0.0007426
